"","EXPID","REFID","RYEAR","RTYPE","RJRNL","RAUTHOR","RTITLE","RPUBLISHER","RPUBDATE","RLANGUAGE","RCITATION","RYAK94","RNOTES"
"119","MAKA85401","01","1985",2,"AAJ","Baba, Hiroyuki",NA,NA,"1986",NA,"60:218 (1986)",NA,NA
"120","MAKA85402","01","1985",2,"AAJ","Nyka, Jozef",NA,NA,"1986",NA,"60:218-219 (1986)",NA,NA
"121","MAK285101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:219 (1986)",NA,NA
"122","MAK285301","01","1985",2,"AAJ","Naar, Ronald",NA,NA,"1986",NA,"60:219 (1986)",NA,NA
"123","MAK285302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:219-220 (1986)",NA,NA
"124","BARU85301","01","1985",2,"AAJ","Lukes, Cestmir",NA,NA,"1986",NA,"60:220 (1986)",NA,NA
"125","AMAD85101","01","1985",2,"AAJ","Alde, Carlo",NA,NA,"1986",NA,"60:220 (1986)",NA,NA
"126","TAWO85401","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:221 (1986)",NA,NA
"127","AMAD85301","01","1985",2,"AAJ","Decamp, Erik",NA,NA,"1986",NA,"60:221 (1986)",NA,NA
"128","AMAD85402","01","1985",2,"AAJ","Guha, Kamal K.",NA,NA,"1986",NA,"60:221 (1986)",NA,NA
"129","AMAD85401","01","1985",2,"AAJ","Kennedy, Michael","A Hidden Gem-Ama Dablam's Northeast Face",NA,"1987",NA,"61:32-40 (1987)",NA,NA
"130","AMAD85302","01","1985",2,"AAJ","Harrington, Randy","Lagunak Ridge, Ama Dablam",NA,"1986",NA,"60:16-19 (1986)",NA,NA
"131","KTEG85401","01","1985",2,"AAJ","Nyka, Jozef",NA,NA,"1986",NA,"60:223 (1986)",NA,NA
"132","THAM85302","01","1985",2,"AAJ","Batard, Marc",NA,NA,"1986",NA,"60:223 (1986)",NA,NA
"133","KUSU85101","01","1985",2,"AAJ",NA,NA,NA,"1986",NA,"60:224 (1986)",NA,NA
"134","KUSU85102","01","1985",2,"AAJ","Tabin, Geoffrey",NA,NA,"1986",NA,"60:224 (1986)",NA,NA
"135","EVER84401","02","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:225 (1986)",NA,NA
"136","EVER85102","01","1985",2,"AAJ","Bonington, Chris",NA,NA,"1986",NA,"60:225-226 (1986)",NA,NA
"137","EVER85102","02","1985",1,NA,"Bass, Dick & Wells, Frank","Seven Summits","Warner Books, New York","1986",NA,NA,"B156",NA
"138","EVER85101","01","1985",2,"AAJ","Saas, David",NA,NA,"1986",NA,"60:226 (1986)",NA,NA
"139","EVER85303","01","1985",2,"AAJ",NA,NA,NA,"1986",NA,"60:227-228 (1986)",NA,NA
"140","EVER85304","01","1985",2,"AAJ","Yagihara, Kuniaki",NA,NA,"1986",NA,"60:228 (1986)",NA,NA
"141","EVER85403","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:228 (1986)",NA,NA
"142","EVER85404","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:228-229 (1986)",NA,NA
"143","EVER85402","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:229 (1986)",NA,NA
"144","LSHR85101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:229 (1986)",NA,NA
"145","LHOT85302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:229-232 (1986)",NA,"19"
